GRID_ID,위험도_가중치,위험도_ML,위험도_혼합,안전상태지수,RLPS_YN
다사46a41a,65.537,98.38866,91.81832987060547,8.181670129394533,1
다사62b45a,64.145,65.790855,65.46168661499023,34.53831338500977,1
다사66b49a,53.986000000000004,92.537,84.82680205078125,15.173197949218746,1
다사59a44b,66.30799999999999,97.39727,91.17941616210938,8.820583837890624,1
다사61b57b,63.08699999999999,67.84372,66.89237482299804,33.107625177001964,0
다사44b46b,58.49399999999999,56.067104,56.552483471679686,43.447516528320314,1
다사64b54b,55.967999999999996,85.10604,79.27843123779297,20.721568762207028,1
다사51b43b,60.32199999999999,60.049927,60.10434369506835,39.89565630493165,1
다사68b44a,56.72499999999999,84.61109,79.03387329101562,20.966126708984376,1
다사68b44a,56.72499999999999,84.61109,79.03387329101562,20.966126708984376,1
다사47b46b,60.891,98.71215,91.14791893310547,8.852081066894527,1
다사45b43a,60.932,83.764305,79.19784409179687,20.802155908203133,1
다사60b49a,54.068999999999996,70.48384,67.2008735168457,32.799126483154296,1
다사58a44b,58.16399999999999,71.57177,68.89021577148436,31.109784228515636,1
다사42a48a,53.11999999999999,67.10266,64.30612890625,35.693871093750005,1
다사48b55b,57.565,92.28004,85.33702801513671,14.66297198486329,1
다사42b51a,56.47099999999999,56.598045,56.57263856811523,43.42736143188477,1
다사48a54a,64.347,75.163994,73.00059506835937,26.999404931640626,1
다사59a62b,57.279999999999994,70.03717,67.48573556518554,32.514264434814464,1
다사61b48b,53.74899999999999,68.77192,65.76733616333007,34.23266383666993,1
다사47a45a,55.48,70.67322,67.63457421875,32.365425781249996,1
다사43b47b,57.19399999999998,59.351242,58.91979517822265,41.08020482177735,1
다사56a52b,66.905,91.8987,86.89995904541016,13.100040954589844,1
다사48a52a,46.706,84.847694,77.21935856933594,22.780641430664062,1
다사49a53b,66.356,89.915344,85.20347386474609,14.796526135253913,1
다사62a62a,68.876,51.853264,55.25781260986328,44.74218739013672,1
다사48b42b,55.08299999999999,66.965775,64.5892203918457,35.4107796081543,1
다사63b55a,55.77899999999998,80.95996,75.9237672241211,24.076232775878907,1
다사52b41a,51.36400000000001,69.949196,66.23215821533203,33.767841784667965,1
다사62b58b,58.49799999999999,78.792595,74.73367669067382,25.266323309326182,1
다사61a45a,58.59099999999999,81.61183,77.00766685791015,22.992333142089848,1
다사43a48b,59.117,77.81159,74.07267520751952,25.927324792480476,1
다사46a41a,45.882,89.002495,80.37839584960938,19.621604150390624,1
다사58b63a,56.91599999999998,89.76177,83.19261772460936,16.807382275390637,1
다사62b45b,55.467,84.64382,78.80845737304688,21.191542626953122,1
다사57b51b,64.273,70.601074,69.33546166381835,30.66453833618165,1
다사48b51a,63.534000000000006,76.69336,74.06148673706055,25.938513262939452,1
다사41b50b,62.91099999999999,85.93004,81.32623381347656,18.673766186523437,1
다사41b49a,61.178,66.16258,65.16566515502929,34.83433484497071,1
다사45a42a,59.388999999999996,39.422382,43.41570664672851,56.58429335327149,1
다사49b51a,63.75599999999999,87.399284,82.67062596435547,17.329374035644534,1
다사57b59a,57.97399999999999,82.91091,77.92352772216796,22.07647227783204,1
다사48b41a,54.693999999999996,92.539696,84.9705611694336,15.029438830566406,1
다사57b50b,58.09299999999998,86.279526,80.64222060546874,19.357779394531264,1
다사48b45a,57.798,68.133675,66.06653893432618,33.933461065673825,1
다사59a51a,60.473,88.37353,82.79342202148437,17.206577978515625,1
다사54b52b,60.794999999999995,92.292114,85.9926944580078,14.007305541992196,1
다사42a49a,59.21999999999999,95.20754,88.01003851318359,11.989961486816412,1
다사61b55b,54.43499999999999,80.14182,75.00045672607422,24.99954327392578,1
다사46a42b,61.65999999999999,70.70909,68.89927218627929,31.10072781372071,1
다사61b44b,63.989999999999995,70.346275,69.07501950073242,30.924980499267576,1
다사64a53a,52.76099999999999,55.419857,54.888087908935546,45.111912091064454,1
다사49a58b,67.09,74.962166,73.38773419189452,26.612265808105477,1
다사57b57a,59.22099999999999,89.4802,83.42835985107422,16.57164014892578,1
다사59a42b,57.221999999999994,82.37126,77.34141080322266,22.658589196777342,1
